title;link
Após temporal, árvore fica atravessada em avenida movimentada de Belo Horizonte;G1
Bebê morre de coqueluche em Belo Horizonte;Band Jornalismo
Serviço de mototáxi pode ser suspenso em Belo Horizonte  entenda;Itatiaia
Justiça nega suspensão do aumento da passagem de ônibus em Belo Horizonte;98 Live
Pode chover granizo novamente em Belo Horizonte nesta quinta-feira;O Tempo
Contribuintes de BH têm até o dia 31 para pagar IPTU com desconto de 5%;Prefeitura de Belo Horizonte
Juliano Lopes, presidente da Câmara Municipal de Belo Horizonte, defende harmonia com o Executivo;Diário do Comércio
Vendaval provoca danos em Belo Horizonte;ABCdoABC
Começa nesta quinta-feira o cadastro de ambulantes para o Carnaval de BH 2025;BHAZ
Como funcionam os banheiros públicos autolimpantes que serão instalados em Belo Horizonte?;G1
Belo Horizonte pode ter mais chuva de granizo nesta quinta-feira;98 Live
Carro cai em rio e militares salvam ocupantes em Belo Horizonte (MG);Band Jornalismo
Carnaval de BH: cadastro para ambulantes trabalharem na folia pode ser feito a partir desta quinta;G1
Líder do tráfico de Belo Horizonte (MG) é preso dentro de restaurante no RJ;Band Jornalismo
Telhados 'voam' durante vendaval em Belo Horizonte  veja fotos;G1
Barragem se rompe e carros são arrastados após forte chuva em BH;Band Jornalismo
Belo Horizonte terá mais um dia de chuva forte com possibilidade de granizo, afirma previsão do tempo;Globo
Tempestade com vendaval e granizo provoca estragos em BH  vídeo flagra muro desabando sobre carro;G1
BH terá chuva forte com raios nesta quinta (23);Estado de Minas
Manifestação de motociclistas promete ‘agarrar’ o trânsito de BH hoje;O Tempo
Serviço de mototáxi pode ser suspenso por 90 dias em BH;Estado de Minas
Após pedido de suspensão, mototáxis de BH marcam protesto e podem travar o trânsito hoje;BHAZ
Velório de tripulantes de helicóptero acontecem em BH;Band Jornalismo
Além de suspensão de mototáxis, Belo Horizonte pode ganhar corredores exclusivos para motos;BHAZ
Onde assistir aos filmes indicados ao Oscar 2025 em BH;Portal Uai
Prefeito de BH, Fuad Noman, foi diagnosticado com pneumonia;Band Jornalismo
Justiça nega suspensão de aumento da passagem dos ônibus de BH;Hoje em Dia
Belo Horizonte: prefeito reeleito, Fuad Noman, define vitória como sua "mai;Band Jornalismo
Tempestade de granizo deixa estragos em Belo Horizonte;CNN Brasil
Sucos naturais: cinco lugares para se refrescar no calor de BH;Estado de Minas
Carnaval 2025: cadastro de ambulantes em BH abre nesta quinta (23/1);Estado de Minas
Revitalização do hipercentro de Belo Horizonte está ao alcance do possível, desde que exista vontade;Diário do Comércio
Azul cancela voo de Patos de Minas para Belo Horizonte por questões técnicas;Patos Já
Prefeito de BH, Fuad Noman deve passar por traqueostomia;Band Jornalismo
Prefeitura publica lista de feirantes para comercialização de alimentos;Prefeitura de Belo Horizonte
MG: Belo Horizonte registra chuva após 6 meses de seca;Band Jornalismo
Desabamento de casa deixa mortos em Belo Horizonte (MG);Band Jornalismo
Belo Horizonte pode ter chuva de granizo na tarde desta quinta-feira;BHAZ
Mototáxi em Belo Horizonte na mira da fiscalização: suspensão por 3 meses pode prejudicar trabalhadores;Jornal Minas
Cadastro de ambulantes para o Carnaval 2025 em BH começa nesta quinta-feira (23)  veja como fazer;O Tempo
Temporal com fortes ventos e granizo causa prejuízos e transtornos em Belo Horizonte (MG);R7
Cadastramento de ambulantes para o Carnaval 2025 começa hoje (23);98 Live
Após polêmica em São Paulo, serviço de mototáxi será suspenso em BH? Entenda;Hoje em Dia
Temporal rompe barragem em BH;Band Jornalismo
Carnaval BH 2025: folia terá 20% a menos de ambulantes do que no ano passado;Itatiaia
Tempestade de granizo atinge Belo Horizonte e assusta moradores;R7
BH: Justiça nega ação de Duda Salabert contra aumento das passagens;Estado de Minas
Carnaval BH 2025: cadastramento de ambulantes começa nesta quinta-feira (23);Itatiaia
Justiça nega suspensão de aumento da passagem dos ônibus de BH  valor segue em R$ 5,75;O Tempo
Manifestação de motociclistas contra o fim do Uber Moto complica trânsito em BH;98 Live
Previsão do tempo aponta dia chuvoso hoje (23) para Belo Horizonte (MG);UOL Confere
Acusados de matar jovem em Virada Cultural de BH vão a júri, nesta quinta (23), após 10 anos;R7
PBH entrega obras de travessia e passarela sobre o Córrego Túnel Camarões;Prefeitura de Belo Horizonte
Vídeo: Motociclistas protestam contra pedido para suspender serviço de moto taxi em BH;Itatiaia
VÍDEOS: MG1 de quinta-feira, 23 de janeiro de 2025;G1
Criança é atacada por pit bull e tem parte da orelha arrancada;G1
Carga de cigarros roubados, avaliada em R$ 90 mil, é apreendida em BH;O Tempo
Pedido de suspensão do transporte de pessoas em motocicletas é retirado;98 Live
Acidente entre ônibus e moto deixa dois feridos em BH;R7
Moradores de BH contabilizam prejuízos após forte chuva com granizo e ventos;Itatiaia
BH tem chuva de granizo em várias regiões nesta quarta-feira (22/1);Estado de Minas
Entenda por que o serviço de mototáxi pode ser suspenso em BH;Revista Encontro
Justiça nega pedido de Duda Salabert contra o aumento das passagens de ônibus em BH;Itatiaia
Governo de MG encerra contrato com empresa de ônibus alvo de fiscalizações;Estado de Minas
VÍDEOS: Bom Dia Minas de quinta-feira, 23 de janeiro de 2025;G1
Oscar 2025: veja onde assistir 'Ainda estou aqui' em BH;Estado de Minas
Homem flagra carro sendo atingido por marquise durante vendaval em Belo Horizonte;R7
Automóvel Clube completa 100 anos com festa e revitalização;Diário do Comércio
BH tem previsão de calorão de 32ºC e chuva com raios e ventania nesta quinta  há risco de granizo;Hoje em Dia
Prefeito de BH, Fuad Noman, foi diagnosticado com pneumonia;Band Jornalismo
Minas Gerais está em alerta para chuva forte e deslizamentos;Band Jornalismo
Homem é preso em BH após se passar por pai de recém-nascido e registrar a criança;BHAZ
Temporal com granizo atinge Belo Horizonte e deixa prejuízos em diversos pontos da cidade;R7
Mortes por acidentes disparam em Belo Horizonte e em Minas Gerais;Estado de Minas
Governo Zema diz que Lei das Estatais não impede que Luísa Barreto assuma comando da Codemge;Diário do Comércio
Tabela Pré Carnaval 2025;Portal Uai
VÍDEOS: mais recentes do G1;G1
Licença de Fuad e incertezas sobre nomeações abrem espaço para 'divisão' na Prefeitura de BH;O Fator
BH tem previsão de calorão de 32ºC, chuva e possibilidade de granizo nesta quinta;Hoje em Dia
Serviço de moto por aplicativo pode ser suspenso por 90 dias em BH  'completamente inseguro';O Tempo
Reconecte: Mercado de Origem oferece yoga e dança neste fim de semana;Portal Uai
Em meio a calorão, Belo Horizonte registra chuva de granizo nesta quarta-feira (22);O Tempo
Quase 333 cidades de Minas estão sob alerta de ‘perigo’ para tempestades;Itatiaia
Árvore cai e atinge dois veículos após temporal em Belo Horizonte;R7
Criança de 8 anos é atacada por pitbull da família e perde parte da orelha na Grande BH;Itatiaia
Prefeitura de Belo Horizonte suspende cirurgias ortopédicas em sete hospitais da rede SUS;R7
Mãe e filhas são indiciadas por espancarem vizinha em BH;O Tempo
Júri de acusados de matar jovem na Virada Cultural de BH, por ciúmes, começa hoje;BHAZ
Casa desaba em Belo Horizonte  adolescente é resgatada com vida;Band Jornalismo
Suspeito de tentar adotar recém-nascido por meio de ‘parto suposto’ é preso em BH  entenda o caso;O Tempo
Chuva de granizo dá nó em trânsito de Belo Horizonte  confira regiões;O Tempo
Após chuva de granizo, bombeiros cortam mais de 20 árvores caídas na Grande BH;O Tempo
Após reunião com Prefeitura de BH, Ministério do Trabalho pede suspensão de moto por aplicativo por 90 dias;BHAZ
Criança é atacada por pitbull na Grande BH e é hospitalizada;98 Live
Ensaios de blocos já aquecem o Carnaval de BH  veja a programação deste fim de semana;Portal Uai
Menino de 8 anos tem parte da orelha arrancada por pitbull na Grande BH;O Tempo
Belo Horizonte tem chuva forte com granizo na tarde desta quarta-feira (22);Itatiaia
Chuva em Minas: ação orienta população sobre medidas de segurança;Estado de Minas
"Conexão Materna" traz para BH nova temporada do espetáculo Mãe Fora da Caixa, com Miá Mello;BH Eventos
VÍDEO: blitz educativa orienta motoristas de BH sobre medidas de prevenção durante temporais;Hoje em Dia
