title;link
Ao vivo: América-MG x Pouso Alegre | Rodada 2 | Campeonato Mineiro;Globo
Cruzeiro x Betim: onde assistir ao vivo – Campeonato Mineiro 2025;Jorn.
América-MG x Pouso Alegre: horário e onde assistir ao jogo do Mineiro;CNN Brasil
Atlético-MG x Democrata no Campeonato Mineiro: onde assistir ao vivo, horário e escalação;Estadão
Atlético-MG: técnico vê evolução no time que disputa o Mineiro;LANCE!
América x Pouso Alegre: horário e onde assistir ao vivo pelo Campeonato Mineiro;Itatiaia
Cruzeiro: escalação, horário e onde assistir ao jogo contra o Betim pelo Campeonato Mineiro;Sporting News
Futebol: veja quem joga hoje, quinta-feira (23/01), horários das partidas e onde assistir ao vivo;OLiberal.com
Atlético-MG registra segundo pior público como mandante no Mineirão desde 2013  veja;Globo
Athletic x Cruzeiro pelo Campeonato Mineiro: onde assistir ao vivo, horário e escalação;Estadão
Cruzeiro x Betim: onde assistir ao vivo, horário e escalações;LANCE!
Ainda sem titulares, Atlético-MG empata com Democrata-GV pelo Mineiro;CNN Brasil
América enfrenta Pouso Alegre no Mineiro em busca de primeira vitória no ano;Itatiaia
América-MG x Pouso Alegre: onde assistir ao vivo, horário e escalações;Globo
Pouco inspirado, Atlético-MG empata mais uma pelo Campeonato Mineiro;LANCE!
Atlético-MG 1 x 1 Democrata GV | Melhores Momentos | 2ª Rodada | Campeonato Mineiro 2025;Globo
Athletic 1 x 0 Cruzeiro | Melhores momentos | 2ª rodada | Campeonato Mineiro 2025;Globo
Com ascensão nacional meteórica, Athletic faz história ao vencer Cruzeiro pela 1ª vez  veja jogos;Globo
Atlético-MG 1 x 1 Democrata GV | Gols | 2ª Rodada | Campeonato Mineiro 2025;Globo
Análise: base do Atlético-MG segura resultado, mas tiro curto do Mineiro pode atrapalhar planos do hexa;Globo
No Atlético-MG, zagueiro celebra primeiro gol no profissional e revela dica de ídolo do clube;Globo
Após derrota na estreia do Mineiro, Pouso Alegre agora foca no duelo contra o América-MG;Varginha Online
Com gol contra de Fabrício Bruno, Cruzeiro perde para o Athletic no Mineiro;CNN Brasil
Atlético-MG fica no empate com o Democrata e segue sem vencer no Mineiro;ESPN.com.br
Atlético-MG: Dalla Déa valoriza a base e crê em amadurecimento durante o Mineiro;Terra
América x Pouso Alegre: onde assistir, horário e escalações pelo Mineiro;No Ataque
DE x Pouso Alegre ao vivo: horário, escalações e desfalques – Campeonato Mineiro 2025;Jornal Diário do Estado
Cruzeiro é derrotado e Atlético só empata na segunda rodada do Campeonato Mineiro;sucessofm.com
Uberlândia conquista primeira vitória no Campeonato Mineiro 2025;Diário de Uberlândia
Betim mantém 100%, Tombense e Uberlândia vencem a primeira no Campeonato Mineiro;O Tempo
Atlético e Cruzeiro não vencem pelo Campeonato Mineiro nesta quarta;O Tempo
Fim do Jogo, Athletic Club MG 1, Cruzeiro 0.;Terra
Fim do Jogo, Atlético Mineiro 1, Democrata GV 1.;Terra
Diniz revela como reagiu às vaias da torcida do Cruzeiro em Brasília;CNN Brasil
Betim vence Aymorés, segue 100% no Mineiro e lidera grupo do Atlético;No Ataque
Atlético-MG leva gol com 37s, empata, mas segue sem vencer no Mineiro;UOL Esporte
Cássio: 'Cuidado com a opinião de pessoas que sabem tudo, mas não conquistaram nada';ESPN.com.br
Tombense x Itabirito - Ao vivo - Campeonato Mineiro - Minuto a Minuto Terra;Terra
No Vasco, Tchê Tchê reencontra Jair, parceiro de cinco títulos no Atlético-MG  veja números da dupla;Globo
Atuações ENM: Mudanças de Diniz não funcionam em derrota pelo Campeonato Mineiro;Terra
Cruzeiro: Diniz garante que segue com planejamento inalterado;LANCE!
No Cruzeiro, Cássio relaciona vaias com expectativa sobre reforços e faz postagem contra críticos;Globo
Pouso Alegre abre venda de ingressos para jogo contra o Atlético-MG, pela 3ª rodada do Campeonato Mineiro;Globo
Tombense 1 x 0 Itabirito | Campeonato Mineiro: melhores momentos;Globo
Torcida do Cruzeiro vaia Fernando Diniz em derrota no Mineiro  assista;Globo
Athletic e Cruzeiro medem forças pela segunda rodada do Campeonato Mineiro;VAVEL.com
Pouso Alegre tem novos nomes publicados no BID e terá reforços contra o América-MG;Globo
Betim Futebol vence o Aymorés por 2 a 0 e se mantém na liderança do grupo A do Estadual;O Tempo Betim
Diniz se irrita com 'pergunta oportunista' e desabafa após derrota do Cruzeiro: 'Se não ganhar, não tem ambiente bom';ESPN.com.br
