title;link
escalações de cruzeiro esporte clube x esporte clube juventude;Instituto Federal do Espírito ...
Com ascensão nacional meteórica, Athletic faz história ao vencer Cruzeiro pela 1ª vez  veja jogos;Globo
Conheça Matheus Pereira, do Cruzeiro, convocado por Dorival para Seleção;Band Jornalismo
Athletic x Cruzeiro pelo Campeonato Mineiro: onde assistir ao vivo, horário e escalação;Estadão
Diniz não se cala após vaias da torcida do Cruzeiro e manda a real: “Senão…”;Zeiro
Cruzeiro decepciona torcedor e é derrotado pelo Athletic;LANCE!
Cruzeiro x Athletic: torcedores chegam confiantes para jogão no Mané;Metrópoles
A inexplicável insistência em Fernando Diniz;O Maior de Minas
Cássio Enfrenta Críticas Após Derrota do Cruzeiro e Exibe Troféus em Nova Foto de Perfil;FootBoom
Cruzeiro apresenta reforços renomados  confira números;Band Jornalismo
Diniz faz previsão para Cruzeiro x Betim: ‘O melhor para o clube’;No Ataque
Toda paciência tem limite, Diniz!;O Tempo
Em estreia de titulares, Cruzeiro perde para o Athletic em Brasília;Metrópoles
Cruzeiro x Betim: onde assistir ao vivo, horário e escalações;LANCE!
JÁ VAI COMEÇAR! Veja onde assistir o jogo do Cruzeiro hoje;Zeiro
Athletic bate Cruzeiro com gol contra de Fabrício Bruno após erro de Cássio;UOL Esporte
Jaeci Critica Diniz Após Derrota do Cruzeiro: 'Pedro Não Gostou do Que Viu';FootBoom
Cruzeiro de olho! Palmeiras não esquece Matheus Pereira e tem plano para contratá-lo;Zeiro
'Cruzeiro não vem pra brincadeira em 2025': Ronaldo analisa chegada de Dudu;Band Jornalismo
Dudu: 'Me preparei meses para o retorno ao Cruzeiro';Band Jornalismo
Gabigol no Cruzeiro: Atacante tem propostas de fora, e acordo pode melar;Band Jornalismo
Mineiro: zebra passeia no Mané e Cruzeiro acaba derrotado pelo Athletic-MG;Distrito do Esporte
Torcida do Cruzeiro critica Cássio, que rebate: “Infeliz“;CNN Brasil
Fernando Diniz comenta vaias na derrota contra o Athletic "só vitória convence o torcedor";Terra
Cruzeiro: Cássio responde a críticas de torcedor em rede social;R7
Jaeci critica Diniz após derrota do Cruzeiro e alerta: ‘Pedrinho não gostou do que viu’;No Ataque
Dudu é recebido com festa para ser apresentado como jogador do Cruzeiro;Band Jornalismo
Deboche? Cássio posta foto com taças após ser criticado pela torcida do Cruzeiro;ND Mais
Fabrício Bruno desabafa e revela que houve tensão entre Flamengo e Cruzeiro;Placar
‘Muito brigado’: Chico Garcia analisa Cruzeiro x Atlético-MG pela FC Series;Band Jornalismo
Cruzeiro: Diniz garante que segue com planejamento inalterado;LANCE!
Atlético só empata com Democrata (MG) e Cruzeiro perde com gol contra da Fabrício Bruno;JM Online
Goleiro Cássio desabafa nas redes sociais após derrota do Cruzeiro;98 Live
Mauro reage à derrota do Cruzeiro e critica reforço: ‘Preciso falar mais nada’;No Ataque
Cruzeiro: Bolasie reage a apoio da torcida e manda recado após derrota;Itatiaia
Gabigol assinou com o Cruzeiro, diz Ulisses Costa;Band Jornalismo
Criticado em derrota do Cruzeiro, Cássio exibe troféus em nova foto de perfil;No Ataque
Cruzeiro perde para o Athletic no Mané Garricha;Terra
Jornalista critica Cruzeiro de Diniz: ‘Cansei desse estilo de jogo manjado’;No Ataque
Confira a provável escalação do Corinthians para encarar o Cruzeiro;Band Jornalismo
Criticado por torcedor, Cássio, do Cruzeiro, responde nas redes sociais  veja conversa;Itatiaia
Com gol contra de Fabrício Bruno, o Cruzeiro foi derrotado pelo Athletic Club e deixou o campo sob vaias da torcida;DeFato Online
Cássio rebate críticos após falha em derrota do Cruzeiro pelo Mineiro;Jornal Impresso Brasil
Palpites Jogo Aberto: Cruzeiro x São Paulo pela FC Series;Band Jornalismo
Milton Neves: A 'seleção' do Cruzeiro vai micar? Sinto que sim...;UOL Esporte
Fernando Diniz se irrita com repórter após derrota do Cruzeiro: "Pergunta oportunista"  veja;BNews
Cruzeiro confirma lesões no joelho de atletas  saiba detalhes;Itatiaia
Cruzeiro é derrotado pelo Athletic pela primeira vez na história  veja retrospecto;O Tempo
Atuações ENM: Mudanças de Diniz não funcionam em derrota pelo Campeonato Mineiro;Terra
São Paulo, Cruzeiro ou Santos - qual é o clube ideal para Dudu?;Band Jornalismo
Diniz admite jogo ruim do Cruzeiro e concorda com as vaias no Mané Garrincha;Terra
Fernando Diniz, do Cruzeiro, analisa derrota para o Athletic por 1 a 0;Rádio Maringá
São Paulo x Cruzeiro: veja as prováveis escalações;Band Jornalismo
Após ser criticado pela torcida do Cruzeiro, Cássio exibe imagem de troféus que conquistou;O Tempo
Cruzeiro anuncia Fagner, ex-Corinthians, e Eduardo, ex-Botafogo;Band Jornalismo
Cappellanes crítica Cruzeiro e diz: “Não será nem campeão Mineiro em 2025”;Band Jornalismo
Com gol contra de Fabrício Bruno, Cruzeiro perde para o Athletic no Mineiro;CNN Brasil
Bronca grande! Cruzeiro confirma lesões no joelho de atletas  veja detalhes;Zeiro
‘Não tem o perfil do Diniz’, diz Velloso sobre reforços do Cruzeiro;Band Jornalismo
Atlético e Cruzeiro não vencem pelo Campeonato Mineiro nesta quarta;O Tempo
Após vaias a Fernando Diniz, Cássio sai em defesa do treinador: 'temos total confiança';Terra
Palpites Jogo Aberto: Cruzeiro x Palmeiras e Inter x Botafogo;Band Jornalismo
Em Brasília, Cruzeiro enfrenta o Athletic em busca da primeira vitória como visitante na temporada;Jornal da Cidade GV
Lucas Romero reage às vaias da torcida do Cruzeiro e cita ‘paciência’;Itatiaia
Jogadoras do Cruzeiro lesionam joelhos em treino  Calhau passará por cirurgia;O Tempo
Cássio explica lance de gol contra e respalda Fernando Diniz no Cruzeiro;O Tempo
cruzeiro em 2003;Prefeitura de Marabá - Pa
Com gol contra de Fabrício Bruno, Cruzeiro é superado pelo Athletic e pode perder liderança no Mineiro;UOL Esporte
Após derrota do Cruzeiro, Diniz chama pergunta de repórter de oportunista;No Ataque
Cruzeiro aguarda Fabrício Bruno para exames e já treina para FC Series;Band Jornalismo
Nem Atlético, nem Cruzeiro: só dois times estão 100% no Mineiro;No Ataque
Cruzeiro anuncia lesões de jogadora da Seleção Brasileira e de reforço;No Ataque
Cruzeiro decepciona e perde para o Athletic com gol contra, pelo Mineiro;O Tempo
Cruzeiro amplia jejum em Brasília ao perder para Athletic;No Ataque
Últimas do Cruzeiro: derrota para Athletic no Campeonato Mineiro e mais;Diário Celeste
Após falha em derrota do Cruzeiro, Cássio posta indireta: 'sabem tudo, mas não conquistaram nada';O Tempo
Quem é Romulo Zwarg, o meio-campista brasileiro que o Tigres quer contratar?;FootBoom
Diniz reconhece atuação abaixo do Cruzeiro em Brasília;Band Jornalismo
Cruzeiro enfrenta o Athletic com ataque diferente  veja escalação;O Tempo
Torcida do Cruzeiro vaia técnico Fernando Diniz em derrota para Athletic - Análise de desempenho e críticas de Adilson Batista no podcast do Globo Esporte;Jornal Diário do Estado
Gilbert Álvarez: "Precisamos Lutar pela Sudamericana e pelo Campeonato";FootBoom
Cruzeiro: Diniz justifica ausências de Gabigol, Matheus Pereira e Walace contra Athletic;No Ataque
Athletic 1 x 0 Cruzeiro: gol e melhores momentos pelo Mineiro;No Ataque
Cruzeiro não acertou nenhuma finalização a gol em derrota para Athletic  veja números;Itatiaia
Pequetito reage à derrota do Cruzeiro para o Athletic e faz cobranças;Itatiaia
Lance de Cássio e Fabrício Bruno pelo Cruzeiro viraliza: 'Show de bizarrice';O Tempo
Romero pede paciência para o torcedor após derrota do Cruzeiro: 'estamos começando o ano';O Tempo
Torcedor do Cruzeiro ataca Cássio, que responde em rede social  veja troca de mensagens;No Ataque
Com Cruzeiro reserva, Corinthians pode emendar quinta vitória seguida?;Band Jornalismo
Diniz responde às vaias da torcida do Cruzeiro após tropeço diante do Athletic;No Ataque
Cruzeiro é vaiado em Brasília, e Diniz vira alvo de xingamentos da torcida;Itatiaia
"Cruzeiro e Hamburgo também acompanham"  Pedrinho manda buscar e diretoria entra na briga por jogador do futebol argentino;Zeiro
Cássio avalia falha em derrota do Cruzeiro e demonstra apoio a Fernando Diniz;Itatiaia
Cruzeiro perde para o Athletic pela primeira vez na história;No Ataque
Falhou? Cássio trata lance que culminou em derrota do Cruzeiro como ‘infelicidade’;No Ataque
Escalação do Cruzeiro: Diniz define substitutos para o ataque e ‘inova’ em dupla;Itatiaia
Cruzeiro: Diniz explica ausências de Gabigol e Matheus Pereira em jogo do Mineiro;Itatiaia
Com gols de ex-jogadores de Atlético e Cruzeiro, Betim vence Aymorés pelo Mineiro;Itatiaia
Heverton Guimarães coloca o Cruzeiro acima de Atlético-MG e São Paulo: “Tem elenco”;Zeiro
Ex-Cruzeiro faz dois gols, e Juventude supera Ypiranga na estreia do Gaúcho;Itatiaia
