title;link
Donald Trump discursa no Fórum de Davos  acompanhe;CNN Brasil
O planeta ficará mais pacífico, diz Trump no Fórum Econômico Mundial;G1
Davos: Trump culpa Biden pela inflação e não detalha tarifaço sobre as importações;VEJA
O retorno de Donald Trump;Infonet
Saiba o que Trump disse em primeira entrevista após posse;CNN Brasil
Bispa que fez apelo a Trump diz que não se desculpará, mas garante: 'Não odeio o presidente e rezo por ele';G1
Investidores acompanham Trump em Davos à espera de políticas tarifárias;VEJA
Produzam seus produtos nos EUA ou terão de pagar tarifas, diz Trump;CNN Brasil
FT/Análise: Como evitar que Donald Trump exporte as guerras comerciais | Mundo;Valor Econômico
“Em andamento“, diz Trump sobre esforços para acordo entre Rússia e Ucrânia;CNN Brasil
Sebastian Stan é indicado ao Oscar por viver Donald Trump em filme que irritou o atual presidente americano;O Globo
“Não vou me desculpar“, diz bispa que pediu misericórdia a Trump;CNN Brasil
Trump remove termos como gay, lésbica, transgênero, bissexual e LGBTQ dos sites da Casa Branca e de agências federais;G1
Tarifas são impostas aos EUA de forma injusta pela UE, diz Trump;CNN Brasil
Bispa que dirigiu sermão a Donald Trump já tinha criticado presidente em 2020  saiba quem é a religiosa;G1
Trump diz que vai pressionar por queda dos juros;CNN Brasil
Guerra da Ucrânia vai terminar se preço do petróleo cair, diz Trump;CNN Brasil
“Schedule F“: decreto de Trump gera temor em funcionários públicos federais;CNN Brasil
Trump diz à Fox que talvez tenha que cortar gastos de “cidades santuários“;CNN Brasil
BDM: Sem agenda, tarifas de Trump continuam no foco;CNN Brasil
Spotify doa US$ 150 mil para posse de Donald Trump e explica decisão: 'Impulsionar objetivos';Terra
Trump diz que herdou caos econômico da gestão Biden, e que restrições energéticas 'destruíram a nação';G1
A declaração em tom de ameaça de Trump para Biden;VEJA
Trump fecha porta ao 'turismo de nascimento' usado por brasileiros nos EUA;BBC News Brasil
Trump diz que Biden "perdeu totalmente o controle" dos EUA;Poder360
Marçal admite que vídeo com Trump é anterior à posse;Poder360
Marçal revela a verdade sobre vídeo com Trump nos EUA;Gazeta do Povo
Donald Trump ameaça reter ajuda contra incêndios se Califórnia não mudar gestão da água;GZH
Trump encerra funcionamento de agências do governo americano que cuidavam de programas de diversidade e inclusão social;G1
Trump anuncia novos nomes para complementar a equipe do governo;CNN Brasil
Plano bilionário para setor de IA mostra que Trump vai priorizar relação com grandes empresas de tecnologia  entenda;G1
Trump derruba regra que impedia discriminação em contratações do governo;UOL Confere
Agenda do dia: Participação de Trump em Fórum Econômico Mundial é destaque;Valor Econômico
Trump critica perdões de Biden e questiona motivos;CNN Brasil
Goianos que moram nos Estados Unidos dizem estar 'aterrorizados' após Trump citar plano de deportação em massa de imigrantes;G1
EUA precisam do Brasil ou não? Veja dados de comércio e investimentos de empresas americanas no país;G1
Ibovespa hoje: cautela exterior permeia Bolsa, que sobe, à espera de Trump em Davos;E-Investidor
Trump instrui funcionários públicos a delatar ações de diversidade;Poder360
À CNN, bispa que pediu a Trump misericórdia para imigrantes aborda críticas;CNN Brasil
Sebastian Stan é indicado ao Oscar por interpretar Donald Trump em 'O Aprendiz';Terra
Japão mostra cautela sobre economia com políticas de Trump em foco;CNN Brasil
Donald Trump 2.0 e a nova era da Inteligência Artificial;Terra
Kremlin ignora ameaça de sanções de Trump e diz estar 'pronto para diálogo mutuamente respeitoso' com EUA;G1
Ato de Trump acende alerta sobre intervenções dos EUA na América Latina, diz pesquisador;Agência Pública
Donald Trump volta à Casa Branca como presidente dos EUA;Band Jornalismo
Trump exige que Putin acabe com a 'ridícula' guerra na Ucrânia ou enfrente novas sanções;BBC News Brasil
“Incidentes muito pequenos”, diz Trump sobre invasão ao Capitólio;CNN Brasil
Brasil certamente terá prejuízos com Trump e 2026 preocupa, diz 1º embaixador de Lula nos EUA;CartaCapital
Kremlin minimiza ameaça de Trump a Putin para encerrar guerra na Ucrânia;VEJA
Donald Trump toma posse como 47º presidente dos Estados Unidos;Band Jornalismo
Bispa criticada por Trump diz que não pedirá desculpas;Gazeta do Povo
Bispa atacada por Trump após sermão diz que não vai pedir desculpas – Mundo;CartaCapital
Trump critica perdões presidenciais de Biden: “Não perdoou a si mesmo”;Poder360
Musk questiona projeto anunciado por Trump que investe US$ 500 bi em inteligência artificial e ataca chefe da OpenAI;G1
Donald Trump nomeia agente que o protegeu durante atentado como novo diretor do Serviço Secreto;Jovem Pan
David Pekoske, da TSA, é destituído do cargo por Donald Trump;PANROTAS
Musk lança dúvidas sobre megaprojeto de IA apoiado por Trump – Mundo;CartaCapital
Veja ponto a ponto a ofensiva de Trump contra imigrantes ilegais;G1
Câmara dos EUA aprova projeto que determina prisão de imigrantes suspeitos  medida deve ser a 1ª nova lei assinada por Trump;G1
Mercado financeiro hoje: planos tarifários de Trump e outros 3 assuntos que prometem agitar os negócios nesta quinta-feira;E-Investidor
Fernando Schüler analisa posse de Donald Trump e principais decretos;Band Jornalismo
Dólar se mantém abaixo de R$ 6 com anúncios de Trump e decisões de BCs;CNN Brasil
Dólar abre sessão desta quinta-feira, com Trump na mira em dia de agenda esvaziada;G1
Trump ameaça Putin: “Pare com esta guerra ridícula”;CNN Brasil
O poder da presença dos grandes CEOs na posse de Donald Trump;Meio
Netanyahu defende Elon Musk por gesto em evento após posse de Trump;CNN Brasil
Trump ameaça Rússia com novas sanções se Putin não parar a guerra na Ucrânia;G1
Dólar sobe e ronda R$ 5,95 à espera de Trump em Davos  bolsa avança;CNN Brasil
Como Trump atrasa a agenda de transição energética, segundo governadores;VEJA
Trump diz à elite empresarial de Davos que quer reverter inflação e cortar impostos;InfoMoney
Um geminiano no poder: como a astrologia explica Donald Trump;Terra
‘Trump pode tornar agronegócio dos EUA menos competitivo e saída do Acordo de Paris pouco representa na prática’;Money Times
Donald Trump anuncia retirada dos Estados Unidos da OMS;Band Jornalismo
'Viking do Capitólio' afirma que foi perdoado por Donald Trump;Aventuras na História
Trump decreta fechamento da fronteira com México para imigrantes ilegais;CNN Brasil
EUA e a guerra fiscal: a resistência de Trump ao imposto mínimo global da OCDE;ConJur
"Políticas da esquerda radical não funcionam nos EUA", diz Trump;Gazeta do Povo
Brasil está entre os mais vulneráveis da América Latina com Trump;Gazeta do Povo
Salto: dólar perdeu força após desencanto com medidas prometidas por Trump;UOL Economia
Principais temas do discurso de Donald Trump;Band Jornalismo
Lula deseja êxito a Donald Trump;Band Jornalismo
Trump diz que exigirá taxa de juros mais baixa imediatamente;Istoé Dinheiro
Trump "não pode ser reverenciado todo o tempo", diz Ciro Nogueira;Poder360
Waack: A primeira cotovelada de Trump em Vladimir Putin;CNN Brasil
Donald Trump promete operação contra imigrantes ilegais;Band Jornalismo
Para diplomatas, retomada do Canal do Panamá pelos EUA é improvável;CNN Brasil
Trump suspende a entrada de imigrantes ilegais na fronteira com o México;G1
“Difícil saber o quanto é narrativa”, diz presidente do Ibama sobre Trump;CNN Brasil
EUA fora do pacto de tributação da OCDE: Trump mira em atrair recursos para indústria e investimento, avaliam especialistas;O Globo
Bitcoin amplia perdas enquanto mercado aguarda sinais de Trump sobre criptos;E-Investidor
Pablo Marçal admite que vídeo com Trump foi gravado antes da posse;InfoMoney
Trump dá 100 dias para enviado acabar com guerra na Ucrânia, e Rússia vê oportunidade  Zelensky pede 200 mil soldados de paz;O Globo
Trump considera enviar 10 mil soldados para conter travessias na fronteira com o México, diz memorando interno;O Globo
Rússia diz que não vê nada de novo nas ameaças de Trump e aguarda diálogo respeitoso;Internacional Estadão
Trump ameaça suspender ajuda para Los Angeles se Califórnia não mudar políticas de uso da água;Terra
Donald Trump ameaça Putin e exige o fim da guerra com a Ucrânia;Correio Braziliense
Zeina Latif e Izabella Teixeira participam ao vivo do VEJA Mercado às 10h;VEJA
Kremlin diz que Trump 'gosta desses métodos' após ameaça de sanções: 'Estamos prontos para diálogo respeitoso';O Globo
'Financiamento vai cessar e a OMS vai ter que focar nas prioridades', diz representante da organização após decisão de Trump;G1
Ibovespa futuro esconde pistas sobre pregão, com agentes atentos a falas de Trump em Davos;E-Investidor
