title;link
Dólar cai e ronda R$ 5,92 à espera de Trump em Davos  bolsa oscila;CNN Brasil
Dólar e Ibovespa operam em alta, com Trump na mira em dia de agenda esvaziada;G1
Dólar hoje: acompanhe o valor da cotação ao vivo;GZH
Dólar hoje tem leve alta, mas abaixo de R$ 6, com anúncios de Trump e BCs no radar;InfoMoney
Pré-mercado: até Quando o Dólar Vai Ficar Abaixo de R$ 6,00?;Forbes Brasil
Dólar oscila, mas se sustenta abaixo dos R$ 6;VEJA
Dólar ronda estabilidade e permanece negociado abaixo de R$ 6;UOL Economia
Milho fecha em baixa com queda do dólar;Agrolink
Dólar cai para R$ 5,94 e fecha no menor nível desde fim de novembro;EBC - Empresa Brasil de Comunicação
Dólar vai se manter abaixo de R$ 6? Especialistas explicam o que esperar do câmbio;E-Investidor
Dólar foi moeda estrangeira mais transacionada pela Travelex Confidence em 2024;PANROTAS
Juros futuros sobem alinhados ao dólar;CNN Brasil
Dólar abre sessão desta quinta-feira, com Trump na mira em dia de agenda esvaziada;G1
Dólar aprofunda queda e se mantém abaixo de R$ 6 pelo segundo dia consecutivo;UOL
Dólar hoje volta a subir depois de bater menor valor desde novembro de 2024;E-Investidor
Dólar se mantém abaixo de R$ 6 com anúncios de Trump e decisões de BCs;CNN Brasil
Dólar hoje busca retomar R$ 6 mas esbarra em cautela com Trump  veja a cotação;E-Investidor
Dólar passa a subir com exterior e à espera de Trump em Davos;Valor Econômico
Por que o dólar voltou a ficar abaixo de R$ 6?;CNN Brasil
Após cair abaixo de R$ 6, dólar ronda a estabilidade;Valor Investe
O que esperar para o dólar após a moeda voltar para abaixo de R$ 6?;InfoMoney
Alívio com Trump leva dólar a R$ 5,94, mínima desde novembro;Valor Econômico
Trump e o ‘privilégio exorbitante’ do dólar;Opinião Estadão
Dólar cai forte e vai R$ 5,94: qual o papel de Donald Trump nesta queda?;InfoMoney
Dólar passa a cair e vai a R$ 5,91, à espera de Trump em Davos;Metrópoles
Ibovespa e dólar avançam na contramão de realização de lucros no exterior;Bloomberg Línea Brasil
Dólar atinge a menor cotação frente ao real desde novembro de 2024: R$ 5,94;G1
Dólar volta a ficar abaixo de R$ 6  o que esperar da moeda?;BP Money
Ibovespa hoje bate mínima com discurso de Trump no radar  dólar cai a R$ 5,91;E-Investidor
