title;link
Polícia descarta nova ameaça de morte com granada contra Lula e Moraes;CNN Brasil
Exclusivo: Popularidade de Lula por segmentos da sociedade. Baixe o relatório completo;JOTA
Mesmo após 'indireta' de Lula, partidos do Centrão com cargos no governo não cravam apoio ao presidente em 2026;G1
Lula celebra indicações de "Ainda Estou Aqui" ao Oscar;Congresso em Foco
Lula sanciona programa de transição energética com 3 vetos;Poder360
Lula comenta as 3 indicações de ‘Ainda Estou Aqui’: ‘Já pode pedir música’;VEJA
Lula sanciona lei que cria programa para acelerar transição energética;Migalhas
Lula deve fazer reunião na segunda sobre preço dos alimentos;CNN Brasil
Teixeira: Medidas para reduzir preços dos alimentos serão apresentadas a Lula nesta sexta-feira;Valor Econômico
Lula veta redução de imposto para o agro e decisão vai ao Congresso;UOL Economia
Exceções diminuíram deficit de Lula para 0,1% do PIB, diz IFI;Poder360
Lula sanciona Programa de Aceleração da Transição Energética;CNN Brasil
'Quanto orgulho', diz Lula após indicações históricas de 'Ainda estou aqui' ao Oscar 2025;G1
Lula pede que ministros com mandato votem nas eleições do Congresso;Congresso em Foco
Lula ouvirá nova cúpula do Congresso sobre reforma;CNN Brasil
Lula parabeniza equipe de 'Ainda estou aqui' por três indicações ao Oscar;Valor Econômico
Lula veta acesso a Fundo Clima e trecho que beneficiava carro elétrico em programa de transição energética;UOL
Ministros vão apresentar a Lula plano para reduzir preço de alimentos;O Globo
Lula parabeniza Fernanda Torres e equipe de 'Ainda estou aqui' por indicações ao Oscar: 'Já pode pedir música';O Globo
Descartada no governo Lula após críticas, mudança de prazo dos alimentos foi avaliada sob Bolsonaro;Estadão
Lula se reunirá com ministros na próxima segunda para discutir alta dos alimentos;Congresso em Foco
Após derrota, governo Lula fará campanha de R$ 50 mi sobre o Pix;Poder360
Após bloqueio de R$ 6 bilhões do programa Pé-de-Meia pelo TCU, oposição apresenta pedidos de impeachment de Lula;Bahia Notícias
Lula, vice e ministros comemoram indicações de ‘Ainda Estou Aqui’ ao Oscar no X;InfoMoney
Josias: Zema tenta se mostrar útil ao bolsonarismo ao rebater Lula;UOL Confere
Presidente da COP 30 cita 'poder de convocação' de Lula e minimiza risco de evento esvaziado em Belém;G1
Governo Lula quer terminar este mandato com mais de 40 leilões de rodovia;UOL
O que é 'pedalada fiscal', manobra que volta à tona após bloqueio do TCU ao 'drible' do governo Lula;Terra
Anbima e CNF defendem derrubada de vetos de Lula sobre fundos na reforma tributária;Valor Econômico
Lula comemora três indicações de 'Ainda estou aqui': 'Já pode pedir música';Correio Braziliense
Em Minas, lideranças agradecem governo federal em meio as farpas de Zema com Lula;O Globo
Presidente do México diz que falará com Lula em meio a ameaças de Trump;CNN Brasil
Oposição pede impeachment de Lula após TCU bloquear R$ 6 bilhões do programa Pé-de-Meia;Jornal Opção
Lula sanciona, com vetos, lei que cria 'fundo verde' para mudança das fontes de energia para outras mais limpas;Valor Econômico
Tensão entre Lula e Zema (MG) escala com ausência em evento e nova lei de dívidas estaduais;Brasil de Fato
Brasil certamente terá prejuízos com Trump e 2026 preocupa, diz 1º embaixador de Lula nos EUA;CartaCapital
Por que Lula tem despachado da residência de campo da Presidência;Metrópoles
Lula comemora indicações de 'Ainda Estou Aqui' ao Oscar;Terra
Lula e políticos comemoram indicação de Fernanda Torres ao Oscar;Poder360
Planalto critica desempenho de suplentes de ministros no Senado e vê oposição pressionando Lula;O Globo
Oposição quer impeachment de Lula por irregularidades no Pé-de-Meia;Poder360
Brasil em Dia - 23/01/25 - Presidente Lula assina concessão da BR-381 em Minas Gerais;EBC - Empresa Brasil de Comunicação
Em novo atrito, Lula critica Zema e diz merecer troféu;Valor Econômico
Lula aumenta pressão para manter apoio do Centrão;Gazeta do Povo
Lula celebra 'Ainda Estou Aqui' no Oscar, mas foge de debater ditadura;UOL Confere
Tarcísio critica governo Lula e diz que Brasil ‘está gastando o que não devia gastar’;InfoMoney
