title;link
Rússia diz que envio de tropas da Otan para a Ucrânia aumentaria o conflito;CNN Brasil
Kremlin ignora ameaça de sanções de Trump e diz estar 'pronto para diálogo mutuamente respeitoso' com EUA;G1
Rússia diz que não vê nada de novo nas ameaças de Trump e que aguarda diálogo respeitoso;Jovem Pan
Rússia responde ultimato de Trump sobre fim da guerra com a Ucrânia;Band Jornalismo
Putin está preocupado com economia da Rússia à medida que Trump cogita mais sanções;InfoMoney
“Em andamento“, diz Trump sobre esforços para acordo entre Rússia e Ucrânia;CNN Brasil
Trump exige que Putin acabe com a 'ridícula' guerra na Ucrânia ou enfrente novas sanções;BBC News Brasil
Rússia envia até soldados de muletas de volta à guerra e compromete o desempenho das tropas;A Referência
Trump diz que esforços para garantir acordo de paz entre Rússia e Ucrânia estão agora em andamento;Terra
Kremlin minimiza ameaça de Trump a Putin para encerrar guerra na Ucrânia;VEJA
Trump ameaça Rússia com novas sanções se Putin não parar a guerra na Ucrânia;G1
Kremlin diz que Trump 'gosta desses métodos' após ameaça de sanções: 'Estamos prontos para diálogo respeitoso';O Globo
Rússia responde ultimato de Trump sobre conflito | Jornal Gente;Band Jornalismo
Waack: A primeira cotovelada de Trump em Vladimir Putin;CNN Brasil
Trump dá 100 dias para enviado acabar com guerra na Ucrânia, e Rússia vê oportunidade  Zelensky pede 200 mil soldados de paz;O Globo
Maior ataque aéreo da Rússia na Ucrânia | Melhor da Noite;Band Jornalismo
Trump ameaça Putin: “Pare com esta guerra ridícula”;CNN Brasil
Rússia domina 20% do território da Ucrânia após 3 anos de guerra;Band Jornalismo
Trump ameaça Rússia com sanções se Moscou não chegar a um acordo para fim da guerra da Ucrânia;Brasil de Fato
Secretário-geral da Otan elogia fala de Trump sobre novas sanções à Rússia;Exame Notícias
Lula não é mais um 'player' nas negociações entre Ucrânia e Rússia, e também não será com Trump, diz Zelensky;G1
Rússia x Ucrânia: entenda os últimos acontecimentos da guerra;Band Jornalismo
Kremlin ignora ameaça dos EUA e diz que Rússia está aberta ao diálogo;Metrópoles
Trump ameaça Rússia com mais sanções se Putin não parar guerra na Ucrânia;G1
Kieling: Trump ameaça Rússia com sanções caso não haja acordo pelo fim da guerra na Ucrânia;Band Jornalismo
Giro internacional: Trump ameaça impor novas sanções à Rússia;EBC - Empresa Brasil de Comunicação
Economia da Rússia em colapso? Suécia usa satélites para revelar a verdade oculta sobre Moscou;CPG Click Petroleo e Gas
A resposta da Rússia às ameaças de Donald Trump sobre a Ucrânia;Revista Fórum
Alemanha diz que não vai aceitar “paz ditada pela Rússia”;Band Jornalismo
Trump ameaça a Rússia e começa ofensiva anti-imigração nos EUA;VEJA
Pilotos ucranianos adotam estratégias da Guerra Fria contra a Rússia, conta veterano dos EUA;TecMundo
Avançar sem retroceder: Como a tropa de elite de Kim Jong-un está sendo usada para lutar pela Rússia;Internacional Estadão
Otan pede que EUA mantenham o envio de armas à Ucrânia;Poder360
Trump diz esperar que China possa ajudar a acabar com guerra da Rússia na Ucrânia;Terra
Trump ameaça Putin com sanções caso Rússia não negocie fim da guerra;Band Jornalismo
Lula não é mais relevante nas negociações entre Ucrânia e Rússia, afirma Zelensky;InfoMoney
Donald Trump ameaça Putin e exige o fim da guerra com a Ucrânia;Correio Braziliense
"O trem do Brasil passou";Crusoé
Rússia está pronta para “diálogo respeitoso” com Trump, que mantém silêncio sobre ajuda à Ucrânia;RFI Brasil
Rússia responde a Trump: “é preciso analisar primeiro as suas propostas sobre a Ucrânia”;Brasil 247
EUA ameaçam Putin com sanções se a guerra na Ucrânia não acabar logo;Valor Econômico
Trump ameaça sanções à Rússia se a guerra não acabar em breve;BP Money
Putin responde provocação de Trump sobre 'guerra ridícula';Band Jornalismo
Trump ameaça Putin com tarifas e dá prazo de 100 dias para guerra acabar;Diário do Comércio
Trump ameaça Putin com sanções caso Rússia não negocie fim da guerra na Ucrânia;GZH
Hungria intensifica retórica anti-sanções à Rússia quando se aproxima o prazo de renovação;Euronews
Zelensky diz que guerra com Rússia pode terminar com volta de Trump;Band Jornalismo
Reinaldo – Rússia dispara míssil balístico contra Ucrânia;Band Jornalismo
Lula "não é um ator mais relevante na guerra entre Rússia e Ucrânia", diz Zelensky;SBT
Rússia diz que ataque contra Ucrânia foi aviso ao Ocidente;Band Jornalismo
Trump ameaça punir Rússia com sanções se Putin não concordar em discutir fim da guerra da Ucrânia;Jovem Pan
Atualizações sobre a guerra entre Rússia e Ucrânia;Band Jornalismo
Festival de esportes de inverno acontece na fronteira Rússia-China;Jornal Toda Palavra
Trump ameaça Rússia e outros países com tarifas se não houver acordo sobre Ucrânia;Money Times
Xi conversa com Putin e pede que China e Rússia defendam equidade e justiça internacionais;Diplomacia Business
Trump ameaça impor novas sanções à Rússia se Putin não parar a guerra contra a Ucrânia;G1
Trump promete acabar guerra na Ucrânia;Band Jornalismo
Vida & Sociedade | Trump pressiona Rússia com ameaça de novas sanções para encerrar conflito na Ucrânia;AF Notícias
Kremlin minimiza ameaça de Trump a Putin sobre Ucrânia;UOL
Trump ameaça Rússia com novas sanções  Europa está receosa com novas políticas;Band Jornalismo
Zelensky: Lula não é relevante na negociação para o fim da guerra;Gazeta do Povo
Trump promete aumentar sanções à Rússia se guerra na Ucrânia não chegar ao fim;TV Cultura
Rússia lança forte ataque contra a infraestrutura de energia da Ucrânia;Band Jornalismo
Ucrânia está em alerta máximo para ataques da Rússia;Band Jornalismo
Trump ameaça Rússia ao aumentar o tom contra Putin;Portal iG
Festival de esportes de inverno acontece na fronteira entre Rússia e China;TV BRICS (Por)
Rússia multa Google em valor inexistente no mundo;Band Jornalismo
