title;link
Guerra na Síria: saiba os últimos acontecimentos do conflito;Band Jornalismo
Incursões do HTS alimentam temores entre os alauítas da Síria;Monitor do Oriente
Israel ataca Palestina, pressiona Síria e quer estender presença no Líbano;Revista Fórum
Papa envia cardeal à Síria como seu abraço e bênção aos católicos;cancaonova.com
‘Israel’ construiu 16 novas bases militares na Síria após golpe;Diário Causa Operária
Estado Islâmico assume responsabilidade por assassinato de cidadão chinês;CNN Brasil
França emite novo mandado de captura por crimes de guerra contra Assad;Euronews
Síria se oferece para negociar com curdos sobre integração ao exército, mas ameaça usar força;O Dia
Szymanski vai alojar estudantes do Colégio Províncias da Síria, ainda em construção;O Popular do Paraná
Ocupação de Israel em área Síria | Melhor da Noite;Band Jornalismo
Economia de Davos-Síria estará aberta ao investimento estrangeiro, diz ministro das Relações Exteriores;DailyNerd
Papa Francisco envia Cardeal à Síria como sinal da proximidade;Gaudium Press
Síria. Fotojornalista da agência oficial assassinado por desconhecidos;Notícias ao Minuto
Síria apela a levantamento das sanções internacionais;RTP Notícias
THY retomou hoje os voos Istambul-Damasco depois de um interregno de 13 anos;TRT
Israel faz 300 ataques na Síria  rebeldes escolhem novo primeiro-ministro;Band Jornalismo
Governo golpista da Síria encerra contrato de porto russo;Diário Causa Operária
Radicalizados. Portugal prepara possível chegada de familiares de ex-combatentes na Síria;RTP Notícias
Israel lança novos ataques na Síria | Bandeirantes Acontece;Band Jornalismo
Sírios celebram queda do regime de Bashar al-Assad;Band Jornalismo
Papa Francisco envia cardeal para missão na Síria;MSN
Mercenários curdos aliados dos EUA perdem terreno;Diário Causa Operária
Papa Francisco envia cardeal para missão na Síria;Agenzia ANSA
Ao fim de 13 anos, Turkish Airlines retoma voos para Damasco;Notícias ao Minuto
Síria quer "restaurar" relação com países do Golfo Pérsico;Notícias ao Minuto
O líder de facto da Síria, Ahmed Al-Shara, dá entrevista exclusiva a A Haber: O apoio de Türkiye ao povo sírio nunca será esquecido;Região de Águeda
Síria. ONU pede tempo para evitar confronto entre governo e curdos;Notícias ao Minuto
Ministro das Relações Exteriores turco e homólogo russo discutem Síria;Região de Águeda
Seleção masculina sub-20 da Índia dá início ao Mandiri U20 Challenge Series 2025 contra a Síria;Região de Águeda
Síria: Enviado da ONU defende processo de transição liderado pelos sírios;JM Madeira
Jovens radicalizados: Autoridades atentas à chegada de familiares de portugueses vindos da Síria;RTP Açores
TPI emite mandados de prisão para líderes do Talibã por discriminação;CNN Brasil
Bilionário democrata vai financiar ações dos EUA contra mudanças climáticas;CNN Brasil
Qatar Airways voará para mais dois destinos na América do Sul;AERO Magazine
Governo Lula negocia resgate de 3 mil brasileiros no Líbano;Band Jornalismo
Ataque a faca mata homem e criança no sul da Alemanha;Istoé Dinheiro
Marrocos e República Centro Africana buscam fortalecer laços militares;Monitor do Oriente
Mais de 10 mil refugiados tiveram seus voos com destino aos EUA cancelados;AEROIN
Idoso perde dinheiro no conto da falsa estrangeira;Regional Press
Brumado Urgente;Brumado Urgente
Navio da vergonha: porta-aviões expõe crise Militar e Naval na Marinha da Rússia;Revista Sociedade Militar
Ataque a faca na Alemanha atinge crianças da pré-escola e mata 2;MSN
Arábia Saudita diz a Trump que quer investir 600 mil milhões de dólares nos EUA;MSN
Grupos cristãos consideram fugir da Síria;Netinho News
Arábia Saudita diz a Trump que quer investir 600 mil milhões de dólares nos EUA;Impala
