title;link
Venezuela abre fronteira com o Brasil após fechar para treinamento militar;G1
Em recado a Maduro, militares planejam exercício na fronteira com Venezuela;UOL Confere
Após 12 horas, Venezuela reabre fronteira e paralisa exercício militar;CNN Brasil
Venezuela realiza exercícios militares em todo o território para afastar 'ameaças externas';Brasil de Fato
EUA reiteram apoio à restauração da democracia na Venezuela;Gazeta do Povo
Venezuela fecha fronteira com o Brasil pela segunda vez no mês – Mundo;CartaCapital
EUA reconhece Edmundo González como presidente legítimo da Venezuela;Exame Notícias
Testes para importação de energia da Venezuela foram inconclusivos, aponta ONS;InfoMoney
Líder da oposição da Venezuela confirma conversa com secretário de Estados dos EUA;GZH
Venezuela fecha fronteira com o Brasil para realizar exercício militar;CNN Brasil
Venezuela faz exercícios militares na fronteira com o Brasil;Band Jornalismo
Exercício militar da Venezuela na fronteira com Brasil preocupa governadores e deixa governo Lula em estado de atenção;O Globo
Venezuela mobiliza 150 mil homens em exercícios militares para 'garantir soberania';Exame Notícias
Venezuela fecha fronteira com o Brasil devido a exercícios militares;Gazeta do Povo
Maduro diz que soldados precisam treinar para “quebrar dentes” de invasores;CNN Brasil
Venezuela fecha fronteira com o Brasil pela segunda vez no mês para exercícios militares;O Globo
Fronteira entre Brasil e Venezuela deve ser aberta nesta segunda (13);Band Jornalismo
Venezuela faz exercícios militares e fecha fronteira com o Brasil;Exame Notícias
Secretário de Estado dos EUA fala com líderes da oposição venezuelana;CNN Brasil
França ordena saída de diplomatas da Venezuela em retaliação a medida;CNN Brasil
Sob Trump, EUA classificam González Urrutia como 'presidente legítimo' da Venezuela – Mundo;CartaCapital
Nicoletti alerta para riscos na fronteira com a Venezuela;Gazeta do Povo
Nicolás Maduro fecha fronteira da Venezuela com o Brasil para exercício militar;Correio Braziliense
Fronteira do Brasil com a Venezuela seguirá fechada;Band Jornalismo
Brasil merecia resultado melhor contra a Venezuela? Denílson analisa;Band Jornalismo
Venezuela fecha fronteira com o Brasil para realizar exercícios militares;R7
